index,class,cap-shape,cap-surface,cap-color,odor,population,habitat
1543,edible,convex,smooth,brown,none,abundant,grasses
1544,edible,convex,fibrous,white,none,scattered,grasses
1545,edible,convex,fibrous,white,none,abundant,grasses
1546,edible,convex,scaly,red,none,soletary,woods
1547,poisonous,flat,smooth,brown,pungent,scattered,urban
1548,edible,flat,fibrous,gray,none,scattered,grasses
1549,edible,convex,scaly,yellow,almond,soletary,grasses
1550,edible,convex,fibrous,brown,none,abundant,grasses
1551,edible,flat,fibrous,brown,none,abundant,grasses
1552,edible,bell,smooth,white,anise,numerous,meadows
1553,edible,flat,smooth,gray,none,abundant,grasses
1554,edible,flat,fibrous,white,none,abundant,grasses
1555,edible,flat,fibrous,brown,none,abundant,grasses
1556,poisonous,flat,smooth,brown,pungent,scattered,urban
1557,edible,convex,smooth,brown,none,abundant,grasses
1558,edible,bell,scaly,yellow,almond,numerous,grasses
1559,edible,flat,smooth,gray,none,abundant,grasses
1560,edible,flat,smooth,brown,none,scattered,grasses
1561,edible,convex,fibrous,gray,none,abundant,grasses
1562,edible,flat,smooth,gray,none,scattered,grasses
1563,edible,convex,fibrous,brown,none,abundant,grasses
1564,edible,convex,fibrous,brown,none,several,woods
1565,edible,bell,scaly,white,anise,numerous,meadows
1566,edible,convex,fibrous,gray,none,several,woods
1567,poisonous,flat,scaly,brown,pungent,scattered,grasses
1568,edible,convex,smooth,white,none,abundant,grasses
1569,poisonous,flat,smooth,brown,pungent,several,urban
1570,edible,flat,smooth,brown,none,abundant,grasses
1571,edible,flat,fibrous,brown,none,abundant,grasses
1572,edible,convex,fibrous,white,none,abundant,grasses
1573,edible,convex,fibrous,brown,none,abundant,grasses
1574,edible,flat,smooth,brown,none,scattered,grasses
1575,edible,convex,smooth,yellow,anise,scattered,grasses
1576,edible,flat,smooth,white,none,abundant,grasses
1577,edible,convex,smooth,white,none,scattered,grasses
1578,poisonous,convex,scaly,brown,pungent,several,grasses
1579,edible,flat,fibrous,gray,none,abundant,grasses
1580,poisonous,flat,scaly,brown,pungent,scattered,grasses
1581,edible,flat,fibrous,white,none,abundant,grasses
1582,edible,convex,fibrous,brown,none,several,woods
1583,edible,convex,fibrous,gray,none,scattered,grasses
1584,poisonous,flat,smooth,brown,pungent,several,urban
1585,edible,flat,smooth,gray,none,scattered,grasses
1586,poisonous,convex,smooth,white,pungent,several,urban
1587,edible,convex,fibrous,brown,none,several,woods
1588,edible,convex,fibrous,brown,none,scattered,grasses
1589,edible,convex,scaly,yellow,almond,scattered,paths
1590,edible,flat,fibrous,white,none,scattered,grasses
1591,edible,flat,smooth,white,none,abundant,grasses
1592,edible,convex,fibrous,gray,none,scattered,grasses
1593,edible,flat,fibrous,gray,none,scattered,grasses
1594,edible,flat,fibrous,white,none,abundant,grasses
1595,edible,convex,fibrous,gray,none,scattered,grasses
1596,edible,flat,fibrous,gray,none,abundant,grasses
1597,edible,convex,fibrous,gray,none,several,woods
1598,edible,convex,smooth,gray,none,abundant,grasses
1599,edible,flat,smooth,gray,none,scattered,grasses
1600,edible,convex,scaly,brown,anise,scattered,grasses
1601,edible,convex,scaly,gray,none,soletary,woods
1602,edible,flat,smooth,gray,none,abundant,grasses
1603,edible,flat,fibrous,white,none,scattered,grasses
1604,edible,flat,smooth,brown,none,abundant,grasses
1605,edible,flat,fibrous,white,none,scattered,grasses
1606,edible,flat,fibrous,brown,none,abundant,grasses
1607,edible,flat,smooth,gray,none,abundant,grasses
1608,edible,convex,smooth,brown,none,scattered,grasses
1609,edible,convex,fibrous,brown,none,soletary,woods
1610,edible,convex,smooth,brown,none,scattered,grasses
1611,edible,convex,fibrous,brown,none,abundant,grasses
1612,edible,flat,smooth,white,none,abundant,grasses
1613,edible,convex,fibrous,brown,none,soletary,urban
1614,poisonous,flat,smooth,white,pungent,scattered,urban
1615,poisonous,flat,smooth,brown,pungent,several,grasses
1616,edible,convex,fibrous,brown,none,several,woods
1617,edible,convex,smooth,white,none,abundant,grasses
1618,edible,flat,fibrous,gray,none,abundant,grasses
1619,edible,convex,smooth,brown,none,scattered,grasses
1620,edible,convex,fibrous,brown,none,scattered,grasses
1621,edible,convex,smooth,gray,none,scattered,grasses
1622,edible,flat,fibrous,gray,none,abundant,grasses
1623,edible,flat,smooth,brown,none,scattered,grasses
1624,edible,flat,smooth,gray,none,abundant,grasses
1625,edible,convex,fibrous,red,none,several,woods
1626,poisonous,flat,scaly,white,pungent,several,urban
1627,edible,convex,fibrous,brown,none,scattered,grasses
1628,edible,convex,fibrous,brown,none,several,woods
1629,poisonous,flat,smooth,brown,pungent,scattered,urban
1630,poisonous,flat,smooth,white,pungent,several,grasses
1631,poisonous,flat,smooth,white,pungent,scattered,urban
1632,edible,flat,fibrous,white,none,abundant,grasses
1633,edible,flat,smooth,brown,none,scattered,grasses
1634,edible,flat,fibrous,brown,none,abundant,grasses
1635,edible,convex,smooth,brown,none,abundant,grasses
1636,edible,flat,smooth,brown,none,abundant,grasses
1637,poisonous,flat,smooth,white,pungent,several,grasses
1638,poisonous,flat,smooth,white,pungent,several,grasses
1639,edible,flat,smooth,gray,none,abundant,grasses
1640,edible,convex,smooth,brown,none,abundant,grasses
1641,edible,convex,smooth,brown,none,scattered,grasses
1642,edible,convex,fibrous,brown,none,several,woods
1643,edible,convex,fibrous,brown,none,several,woods
1644,edible,flat,fibrous,white,none,abundant,grasses
1645,edible,flat,fibrous,white,none,scattered,grasses
1646,edible,convex,fibrous,white,none,abundant,grasses
1647,edible,convex,smooth,yellow,anise,numerous,meadows
1648,edible,flat,smooth,gray,none,abundant,grasses
1649,edible,convex,smooth,white,none,scattered,grasses
1650,edible,convex,fibrous,brown,none,scattered,grasses
1651,edible,convex,fibrous,brown,none,abundant,grasses
1652,edible,convex,smooth,white,none,scattered,grasses
1653,edible,convex,smooth,brown,none,scattered,grasses
1654,edible,convex,smooth,gray,none,scattered,grasses
1655,edible,convex,smooth,gray,none,scattered,grasses
1656,edible,flat,smooth,white,none,scattered,grasses
1657,edible,convex,smooth,brown,none,abundant,grasses
1658,edible,flat,fibrous,gray,none,scattered,grasses
1659,edible,flat,fibrous,white,none,scattered,grasses
1660,edible,convex,fibrous,white,none,abundant,grasses
1661,edible,flat,fibrous,gray,none,scattered,grasses
1662,edible,convex,fibrous,gray,none,abundant,grasses
1663,edible,convex,scaly,yellow,almond,numerous,grasses
1664,edible,convex,smooth,yellow,anise,numerous,grasses
1665,edible,convex,smooth,white,none,abundant,grasses
1666,poisonous,convex,scaly,brown,pungent,scattered,grasses
1667,edible,convex,fibrous,white,none,scattered,grasses
1668,poisonous,convex,smooth,white,pungent,scattered,urban
1669,edible,convex,scaly,gray,none,several,woods
1670,poisonous,flat,smooth,white,pungent,several,urban
1671,edible,convex,scaly,yellow,anise,scattered,grasses
1672,edible,convex,scaly,white,anise,numerous,meadows
1673,edible,flat,scaly,brown,anise,soletary,paths
1674,edible,convex,smooth,white,none,scattered,grasses
1675,edible,flat,smooth,brown,none,scattered,grasses
1676,edible,convex,smooth,gray,none,abundant,grasses
1677,edible,convex,smooth,white,none,abundant,grasses
1678,edible,flat,smooth,brown,none,scattered,grasses
1679,edible,flat,smooth,brown,none,abundant,grasses
1680,edible,convex,smooth,gray,none,scattered,grasses
1681,edible,bell,smooth,white,anise,numerous,grasses
1682,edible,convex,smooth,gray,none,scattered,grasses
1683,edible,convex,smooth,yellow,anise,scattered,meadows
1684,poisonous,flat,scaly,white,pungent,several,grasses
1685,edible,flat,smooth,white,none,scattered,grasses
1686,edible,flat,smooth,brown,none,scattered,grasses
1687,edible,flat,smooth,gray,none,scattered,grasses
1688,edible,flat,fibrous,gray,none,scattered,grasses
1689,edible,convex,scaly,brown,none,soletary,woods
1690,edible,convex,fibrous,brown,none,soletary,woods
1691,edible,convex,scaly,yellow,almond,soletary,paths
1692,edible,convex,fibrous,gray,none,soletary,woods
1693,edible,flat,fibrous,gray,none,abundant,grasses
1694,edible,flat,smooth,brown,none,scattered,grasses
1695,edible,flat,smooth,white,none,abundant,grasses
1696,edible,convex,fibrous,gray,none,abundant,grasses
1697,edible,flat,smooth,white,none,scattered,grasses
1698,edible,flat,fibrous,gray,none,abundant,grasses
1699,edible,convex,fibrous,gray,none,abundant,grasses
1700,edible,convex,smooth,brown,none,abundant,grasses
1701,edible,convex,fibrous,brown,none,soletary,woods
1702,edible,flat,smooth,white,none,scattered,grasses
1703,edible,flat,fibrous,brown,none,scattered,grasses
1704,poisonous,flat,scaly,brown,pungent,scattered,grasses
1705,edible,convex,fibrous,brown,none,soletary,woods
1706,edible,convex,fibrous,brown,none,scattered,grasses
1707,edible,flat,fibrous,white,none,scattered,grasses
1708,poisonous,flat,scaly,brown,pungent,several,urban
1709,edible,flat,fibrous,gray,none,scattered,grasses
1710,edible,convex,fibrous,gray,none,several,woods
1711,edible,convex,fibrous,white,none,abundant,grasses
1712,edible,convex,fibrous,gray,none,scattered,grasses
1713,edible,convex,fibrous,brown,none,several,woods
1714,edible,convex,smooth,gray,none,abundant,grasses
1715,edible,flat,fibrous,white,none,abundant,grasses
1716,edible,convex,fibrous,gray,none,soletary,woods
1717,edible,convex,scaly,white,anise,numerous,grasses
1718,edible,convex,scaly,white,anise,numerous,meadows
1719,edible,flat,smooth,gray,none,scattered,grasses
1720,edible,flat,smooth,white,none,abundant,grasses
1721,edible,flat,smooth,brown,none,scattered,grasses
1722,edible,flat,smooth,white,none,abundant,grasses
1723,edible,convex,fibrous,brown,none,abundant,grasses
1724,edible,convex,smooth,brown,none,scattered,grasses
1725,edible,bell,scaly,yellow,almond,numerous,meadows
1726,poisonous,flat,scaly,white,pungent,several,grasses
1727,edible,convex,smooth,brown,none,abundant,grasses
1728,edible,flat,smooth,brown,none,scattered,grasses
1729,edible,convex,scaly,brown,almond,scattered,grasses
1730,edible,convex,smooth,gray,none,abundant,grasses
1731,edible,flat,smooth,white,none,abundant,grasses
1732,poisonous,convex,smooth,brown,pungent,several,urban
1733,edible,flat,smooth,gray,none,abundant,grasses
1734,edible,convex,fibrous,white,none,scattered,grasses
1735,poisonous,flat,smooth,brown,pungent,several,grasses
1736,edible,convex,fibrous,brown,none,abundant,grasses
1737,edible,convex,smooth,brown,none,abundant,grasses
1738,edible,convex,fibrous,brown,none,several,woods
1739,edible,flat,smooth,white,none,scattered,grasses
1740,poisonous,flat,smooth,white,pungent,several,urban
1741,edible,convex,fibrous,white,none,abundant,grasses
1742,edible,flat,fibrous,brown,none,scattered,grasses
1743,edible,flat,smooth,gray,none,scattered,grasses
1744,edible,convex,fibrous,white,none,abundant,grasses
1745,edible,flat,scaly,brown,anise,soletary,grasses
1746,poisonous,flat,smooth,white,pungent,scattered,grasses
1747,edible,convex,fibrous,white,none,abundant,grasses
1748,edible,flat,fibrous,brown,none,soletary,urban
1749,poisonous,flat,scaly,brown,pungent,scattered,urban
1750,edible,flat,smooth,white,none,scattered,grasses
1751,edible,convex,fibrous,gray,none,scattered,grasses
1752,edible,flat,scaly,yellow,almond,soletary,paths
1753,edible,convex,fibrous,white,none,scattered,grasses
1754,edible,convex,fibrous,white,none,abundant,grasses
1755,poisonous,flat,scaly,brown,pungent,scattered,grasses
1756,edible,flat,fibrous,brown,none,scattered,grasses
1757,edible,flat,fibrous,gray,none,scattered,grasses
1758,edible,convex,fibrous,brown,none,scattered,grasses
1759,edible,convex,fibrous,brown,none,several,woods
1760,edible,convex,smooth,gray,none,scattered,grasses
1761,edible,convex,smooth,gray,none,abundant,grasses
1762,edible,convex,fibrous,white,none,scattered,grasses
1763,edible,flat,fibrous,gray,none,scattered,grasses
1764,edible,convex,fibrous,brown,none,soletary,woods
1765,edible,convex,smooth,white,none,scattered,grasses
1766,poisonous,convex,smooth,white,pungent,scattered,urban
1767,edible,flat,smooth,gray,none,abundant,grasses
1768,edible,convex,smooth,brown,none,scattered,grasses
1769,edible,convex,fibrous,brown,none,several,woods
1770,edible,convex,scaly,yellow,almond,soletary,grasses
1771,edible,convex,smooth,gray,none,abundant,grasses
1772,edible,convex,fibrous,brown,none,abundant,grasses
1773,edible,convex,fibrous,white,none,abundant,grasses
1774,edible,convex,scaly,yellow,almond,scattered,grasses
1775,edible,convex,fibrous,brown,none,soletary,woods
1776,edible,convex,fibrous,white,none,abundant,grasses
1777,edible,convex,fibrous,white,none,abundant,grasses
1778,poisonous,flat,smooth,brown,pungent,scattered,urban
1779,poisonous,flat,smooth,white,pungent,several,urban
1780,edible,convex,smooth,brown,none,abundant,grasses
1781,edible,convex,fibrous,gray,none,several,urban
1782,edible,flat,smooth,brown,none,scattered,grasses
1783,edible,convex,smooth,white,none,abundant,grasses
1784,poisonous,flat,smooth,white,pungent,scattered,grasses
1785,edible,bell,smooth,yellow,almond,scattered,grasses
1786,edible,convex,fibrous,brown,none,abundant,grasses
1787,poisonous,flat,scaly,brown,pungent,scattered,urban
1788,edible,convex,smooth,gray,none,abundant,grasses
1789,edible,convex,smooth,gray,none,scattered,grasses
1790,edible,convex,smooth,white,none,scattered,grasses
1791,poisonous,flat,smooth,white,pungent,several,urban
1792,edible,flat,smooth,white,none,abundant,grasses
1793,edible,convex,fibrous,brown,none,abundant,grasses
1794,edible,flat,fibrous,brown,none,scattered,grasses
1795,edible,convex,fibrous,brown,none,abundant,grasses
1796,poisonous,flat,scaly,brown,pungent,several,grasses
1797,edible,convex,fibrous,white,none,scattered,grasses
1798,edible,flat,smooth,white,none,abundant,grasses
1799,poisonous,flat,scaly,white,pungent,several,urban
1800,edible,flat,smooth,gray,none,abundant,grasses
1801,edible,flat,scaly,brown,none,several,woods
1802,edible,convex,fibrous,gray,none,abundant,grasses
1803,edible,convex,fibrous,gray,none,several,woods
1804,edible,convex,scaly,brown,none,several,woods
1805,edible,flat,fibrous,brown,none,soletary,woods
1806,edible,flat,scaly,red,none,several,woods
1807,edible,flat,smooth,gray,none,scattered,grasses
1808,edible,convex,fibrous,gray,none,soletary,woods
1809,edible,convex,scaly,gray,none,soletary,woods
1810,edible,convex,fibrous,gray,none,scattered,grasses
1811,poisonous,flat,smooth,brown,pungent,scattered,grasses
1812,edible,flat,fibrous,brown,none,several,woods
1813,poisonous,convex,smooth,brown,pungent,several,grasses
1814,edible,convex,smooth,white,almond,scattered,grasses
1815,edible,convex,smooth,white,none,abundant,grasses
1816,edible,convex,scaly,yellow,almond,scattered,grasses
1817,poisonous,convex,fibrous,gray,foul,soletary,grasses
1818,edible,flat,smooth,brown,none,abundant,grasses
1819,edible,flat,smooth,white,none,scattered,grasses
1820,edible,convex,fibrous,brown,none,several,woods
1821,edible,flat,smooth,brown,none,scattered,grasses
1822,edible,convex,fibrous,brown,none,scattered,grasses
1823,poisonous,convex,smooth,white,pungent,several,urban
1824,edible,flat,fibrous,brown,none,soletary,woods
1825,edible,convex,scaly,white,anise,numerous,grasses
1826,edible,flat,fibrous,gray,none,scattered,grasses
1827,edible,convex,scaly,red,none,several,woods
1828,edible,flat,fibrous,white,none,scattered,grasses
1829,edible,convex,smooth,gray,none,abundant,grasses
1830,edible,convex,scaly,brown,none,several,woods
1831,edible,convex,scaly,gray,none,soletary,woods
1832,edible,convex,fibrous,gray,none,several,woods
1833,edible,flat,smooth,white,none,abundant,grasses
1834,edible,convex,fibrous,gray,none,several,woods
1835,edible,convex,fibrous,brown,none,several,woods
1836,edible,convex,fibrous,red,none,several,woods
1837,edible,convex,scaly,brown,none,soletary,woods
1838,edible,flat,fibrous,white,none,scattered,grasses
1839,edible,convex,scaly,brown,none,soletary,woods
1840,edible,convex,smooth,gray,none,scattered,grasses
1841,edible,convex,fibrous,gray,none,abundant,grasses
1842,edible,flat,fibrous,white,none,abundant,grasses
1843,edible,convex,scaly,gray,none,several,woods
1844,poisonous,flat,scaly,brown,pungent,scattered,urban
1845,edible,convex,scaly,red,none,several,woods
1846,edible,flat,fibrous,white,none,scattered,grasses
1847,edible,flat,smooth,gray,none,abundant,grasses
1848,edible,convex,scaly,gray,none,several,woods
1849,edible,flat,fibrous,gray,none,several,woods
1850,edible,convex,fibrous,brown,none,several,woods
1851,edible,flat,fibrous,red,none,several,woods
1852,edible,convex,smooth,white,none,abundant,grasses
1853,edible,convex,fibrous,red,none,several,woods
1854,edible,convex,fibrous,brown,none,several,woods
1855,edible,convex,fibrous,gray,none,soletary,woods
1856,edible,convex,fibrous,brown,none,soletary,woods
1857,edible,convex,fibrous,yellow,almond,several,woods
1858,edible,convex,fibrous,red,none,several,woods
1859,poisonous,flat,smooth,white,pungent,several,grasses
1860,edible,convex,smooth,white,none,scattered,grasses
1861,edible,convex,fibrous,red,none,soletary,woods
1862,edible,convex,scaly,brown,none,several,woods
1863,edible,convex,fibrous,white,none,abundant,grasses
1864,edible,convex,fibrous,gray,none,soletary,woods
1865,edible,convex,smooth,gray,none,scattered,grasses
1866,edible,convex,scaly,red,none,soletary,woods
1867,edible,convex,scaly,brown,none,several,woods
1868,edible,convex,smooth,white,none,abundant,grasses
1869,edible,convex,smooth,brown,none,abundant,grasses
1870,edible,convex,smooth,white,none,scattered,grasses
1871,edible,convex,smooth,brown,none,scattered,grasses
1872,edible,flat,fibrous,red,none,soletary,woods
1873,edible,flat,fibrous,white,none,abundant,grasses
1874,edible,flat,fibrous,gray,none,abundant,grasses
1875,edible,convex,scaly,red,none,several,woods
1876,edible,convex,fibrous,red,none,soletary,woods
1877,edible,convex,scaly,gray,none,several,woods
1878,edible,convex,fibrous,red,none,soletary,woods
1879,edible,flat,smooth,brown,none,scattered,grasses
1880,edible,convex,smooth,white,none,abundant,grasses
1881,edible,convex,smooth,white,none,abundant,grasses
1882,edible,convex,fibrous,white,none,abundant,grasses
1883,edible,convex,fibrous,red,none,several,woods
1884,edible,convex,fibrous,brown,none,soletary,woods
1885,edible,flat,fibrous,brown,none,several,woods
1886,edible,flat,fibrous,white,anise,several,woods
1887,edible,flat,fibrous,white,none,abundant,grasses
1888,poisonous,flat,scaly,white,pungent,scattered,grasses
1889,edible,flat,fibrous,gray,none,several,woods
1890,edible,convex,fibrous,brown,none,several,woods
1891,edible,convex,smooth,white,none,abundant,grasses
1892,edible,convex,fibrous,white,none,abundant,grasses
1893,edible,convex,smooth,brown,none,abundant,grasses
1894,edible,convex,fibrous,brown,none,abundant,grasses
1895,edible,convex,smooth,gray,none,abundant,grasses
1896,edible,convex,scaly,brown,none,several,woods
1897,edible,convex,fibrous,brown,none,soletary,woods
1898,edible,flat,smooth,gray,none,scattered,grasses
1899,edible,flat,smooth,brown,none,abundant,grasses
1900,edible,convex,smooth,gray,none,scattered,grasses
1901,edible,flat,fibrous,gray,none,soletary,woods
1902,edible,convex,smooth,white,none,abundant,grasses
1903,edible,flat,fibrous,brown,none,abundant,grasses
1904,edible,flat,smooth,white,none,scattered,grasses
1905,edible,convex,fibrous,gray,none,scattered,grasses
1906,edible,flat,fibrous,brown,none,abundant,grasses
1907,edible,flat,fibrous,brown,none,abundant,grasses
1908,edible,convex,fibrous,brown,none,several,woods
1909,edible,flat,smooth,gray,none,abundant,grasses
1910,edible,flat,smooth,white,none,scattered,grasses
1911,edible,convex,scaly,red,none,several,woods
1912,edible,convex,scaly,gray,none,several,woods
1913,edible,convex,scaly,red,none,several,woods
1914,edible,convex,fibrous,gray,none,scattered,grasses
1915,edible,flat,fibrous,gray,none,abundant,grasses
1916,edible,flat,scaly,yellow,anise,soletary,grasses
1917,poisonous,flat,scaly,white,pungent,several,urban
1918,edible,flat,smooth,brown,none,abundant,grasses
1919,edible,flat,fibrous,brown,none,scattered,grasses
1920,edible,flat,fibrous,brown,none,several,woods
1921,edible,convex,fibrous,red,none,soletary,woods
1922,edible,flat,fibrous,gray,none,abundant,grasses
1923,edible,convex,fibrous,brown,none,scattered,grasses
1924,edible,convex,fibrous,gray,none,scattered,grasses
1925,edible,convex,scaly,red,none,several,woods
1926,edible,flat,fibrous,brown,none,several,woods
1927,edible,convex,fibrous,brown,none,scattered,grasses
1928,edible,convex,fibrous,brown,none,abundant,grasses
1929,edible,flat,smooth,white,none,scattered,grasses
1930,edible,flat,smooth,gray,none,scattered,grasses
1931,poisonous,flat,scaly,white,pungent,scattered,urban
1932,edible,bell,smooth,white,almond,scattered,grasses
1933,edible,convex,fibrous,brown,none,several,woods
1934,edible,flat,fibrous,gray,none,abundant,grasses
1935,edible,convex,fibrous,brown,none,scattered,grasses
1936,edible,convex,smooth,brown,none,scattered,grasses
1937,edible,flat,smooth,white,anise,several,woods
1938,edible,convex,fibrous,white,none,abundant,grasses
1939,edible,convex,smooth,white,none,abundant,grasses
1940,edible,convex,smooth,gray,none,scattered,grasses
1941,edible,convex,scaly,red,none,several,woods
1942,edible,flat,fibrous,brown,none,several,woods
1943,edible,convex,fibrous,brown,none,several,woods
1944,edible,flat,fibrous,white,none,scattered,grasses
1945,edible,flat,smooth,brown,none,scattered,grasses
1946,poisonous,flat,smooth,white,pungent,several,urban
1947,edible,flat,fibrous,brown,none,scattered,grasses
1948,edible,convex,scaly,gray,none,soletary,woods
1949,edible,convex,scaly,gray,none,several,woods
1950,edible,convex,fibrous,gray,none,abundant,grasses
1951,edible,convex,fibrous,gray,none,several,woods
1952,edible,convex,scaly,red,none,several,woods
1953,edible,convex,fibrous,gray,none,soletary,woods
1954,edible,convex,fibrous,gray,none,several,woods
1955,edible,convex,fibrous,brown,none,several,woods
1956,poisonous,convex,smooth,white,pungent,several,grasses
1957,edible,convex,fibrous,brown,none,scattered,grasses
1958,edible,convex,scaly,brown,none,several,woods
1959,edible,convex,fibrous,gray,none,soletary,woods
1960,poisonous,flat,scaly,brown,pungent,scattered,grasses
1961,edible,convex,fibrous,gray,none,soletary,woods
1962,edible,convex,fibrous,gray,none,scattered,grasses
1963,edible,convex,fibrous,red,none,several,woods
1964,edible,flat,fibrous,brown,none,scattered,grasses
1965,edible,flat,smooth,white,none,abundant,grasses
1966,edible,flat,smooth,brown,none,scattered,grasses
1967,edible,convex,scaly,red,none,several,woods
1968,edible,flat,smooth,brown,none,scattered,grasses
1969,edible,flat,fibrous,brown,none,several,woods
1970,edible,flat,smooth,white,none,scattered,grasses
1971,edible,convex,fibrous,brown,none,abundant,grasses
1972,edible,flat,fibrous,brown,none,scattered,grasses
1973,poisonous,convex,smooth,brown,pungent,several,urban
1974,edible,convex,fibrous,brown,none,soletary,woods
1975,edible,flat,smooth,brown,none,scattered,grasses
1976,poisonous,flat,scaly,white,pungent,scattered,grasses
1977,edible,convex,fibrous,brown,none,several,woods
1978,edible,convex,fibrous,gray,none,soletary,woods
1979,edible,flat,fibrous,brown,none,abundant,grasses
1980,edible,convex,fibrous,red,none,several,woods
1981,edible,flat,fibrous,white,none,scattered,grasses
1982,edible,convex,fibrous,white,none,scattered,grasses
1983,edible,convex,scaly,white,anise,numerous,meadows
1984,edible,convex,smooth,white,none,scattered,grasses
1985,edible,convex,scaly,gray,none,several,woods
1986,edible,convex,fibrous,gray,none,soletary,woods
1987,edible,convex,smooth,gray,none,abundant,grasses
1988,poisonous,flat,scaly,white,pungent,scattered,urban
1989,edible,convex,fibrous,red,none,several,woods
1990,poisonous,flat,smooth,brown,pungent,scattered,urban
1991,poisonous,flat,scaly,brown,pungent,several,grasses
1992,edible,convex,fibrous,gray,none,several,woods
1993,edible,flat,smooth,brown,none,abundant,grasses
1994,edible,convex,fibrous,gray,none,soletary,woods
1995,edible,convex,fibrous,brown,none,abundant,grasses
1996,edible,convex,fibrous,brown,none,soletary,woods
1997,edible,flat,smooth,brown,none,scattered,grasses
1998,edible,flat,fibrous,brown,none,abundant,grasses
1999,edible,convex,smooth,brown,none,abundant,grasses
2000,edible,convex,smooth,brown,none,scattered,grasses
2001,edible,convex,fibrous,brown,none,several,woods
2002,edible,convex,scaly,red,none,several,woods
2003,edible,flat,smooth,brown,none,abundant,grasses
2004,edible,convex,fibrous,brown,none,soletary,woods
2005,poisonous,flat,scaly,white,pungent,several,urban
2006,edible,convex,scaly,yellow,anise,scattered,grasses
2007,poisonous,flat,smooth,brown,pungent,scattered,grasses
2008,edible,flat,fibrous,white,none,scattered,grasses
2009,edible,flat,fibrous,brown,none,abundant,grasses
2010,poisonous,flat,smooth,brown,pungent,several,grasses
2011,edible,convex,smooth,brown,none,abundant,grasses
2012,edible,convex,fibrous,brown,none,scattered,grasses
2013,edible,convex,fibrous,red,none,several,woods
2014,edible,flat,fibrous,brown,none,abundant,grasses
2015,edible,convex,fibrous,white,none,scattered,grasses
2016,edible,flat,smooth,gray,none,abundant,grasses
2017,edible,flat,fibrous,white,none,scattered,grasses
2018,edible,flat,smooth,yellow,almond,several,woods
2019,edible,flat,fibrous,white,almond,several,woods
2020,edible,flat,fibrous,brown,none,abundant,grasses
2021,edible,convex,fibrous,brown,none,soletary,woods
2022,edible,convex,scaly,gray,none,soletary,woods
2023,edible,convex,fibrous,brown,none,soletary,woods
2024,edible,convex,fibrous,brown,none,scattered,grasses
2025,edible,convex,fibrous,gray,none,soletary,woods
2026,edible,convex,fibrous,brown,none,several,woods
2027,edible,convex,fibrous,gray,none,abundant,grasses
2028,edible,convex,fibrous,brown,none,several,woods
2029,edible,convex,smooth,brown,none,abundant,grasses
2030,edible,bell,scaly,white,anise,scattered,meadows
2031,edible,convex,scaly,red,none,several,woods
2032,edible,flat,smooth,brown,none,scattered,grasses
2033,edible,convex,fibrous,red,none,soletary,woods
2034,edible,flat,scaly,brown,none,soletary,woods
2035,edible,convex,scaly,gray,none,several,woods
2036,edible,convex,smooth,gray,none,abundant,grasses
2037,edible,convex,smooth,brown,none,scattered,grasses
2038,edible,convex,fibrous,gray,none,abundant,grasses
2039,edible,convex,smooth,gray,none,abundant,grasses
2040,edible,convex,scaly,red,none,soletary,woods
2041,edible,flat,fibrous,gray,none,soletary,woods
2042,edible,flat,fibrous,brown,none,soletary,woods
2043,edible,convex,fibrous,brown,none,scattered,grasses
2044,edible,flat,smooth,brown,none,scattered,grasses
2045,edible,convex,fibrous,white,none,scattered,grasses
2046,edible,convex,scaly,yellow,almond,scattered,paths
2047,edible,convex,fibrous,red,none,several,woods
2048,edible,convex,fibrous,brown,none,scattered,grasses
2049,edible,convex,scaly,brown,none,several,woods
2050,edible,flat,fibrous,gray,none,soletary,woods
2051,edible,convex,fibrous,white,none,abundant,grasses
2052,edible,convex,scaly,white,almond,scattered,meadows
2053,edible,convex,smooth,brown,none,scattered,grasses
2054,edible,flat,smooth,white,none,abundant,grasses
2055,edible,flat,fibrous,brown,none,several,woods
2056,edible,flat,fibrous,white,none,scattered,grasses
2057,edible,convex,fibrous,gray,none,several,woods
2058,edible,convex,fibrous,brown,none,soletary,woods
2059,edible,convex,fibrous,white,none,abundant,grasses
2060,edible,convex,smooth,white,almond,numerous,meadows
2061,edible,flat,smooth,gray,none,scattered,grasses
2062,poisonous,flat,scaly,brown,pungent,several,grasses
2063,edible,flat,fibrous,gray,none,scattered,grasses
2064,edible,convex,fibrous,brown,none,several,woods
2065,edible,convex,fibrous,white,none,scattered,grasses
2066,edible,convex,scaly,brown,none,several,woods
2067,edible,convex,scaly,red,none,several,woods
2068,poisonous,flat,smooth,brown,pungent,several,urban
2069,edible,flat,smooth,gray,none,abundant,grasses
2070,edible,convex,fibrous,gray,none,soletary,woods
2071,edible,flat,fibrous,gray,none,soletary,woods
2072,edible,convex,fibrous,gray,none,several,woods
2073,edible,convex,fibrous,gray,none,soletary,woods
2074,edible,convex,fibrous,brown,none,soletary,woods
2075,poisonous,convex,smooth,white,pungent,several,urban
2076,edible,convex,smooth,yellow,anise,numerous,meadows
2077,edible,convex,fibrous,brown,none,several,woods
2078,edible,flat,scaly,brown,none,soletary,woods
2079,edible,convex,smooth,gray,none,scattered,grasses
2080,edible,convex,scaly,red,none,soletary,woods
2081,edible,convex,fibrous,gray,none,scattered,grasses
